[Header]
Application Name	LCsolution
Version	1.25
Data File Name	D:\cz\DYL\20200308\NHE1-CHP1-SEC26.lcd
Output Date	2020/6/28
Output Time	16:20:40

[File Information]
Type	Data File
Generated	2020/3/8 15:17:46
Generated by	Admin
Modified	2020/3/8 16:06:19
Modified by	Admin

[Sample Information]
Operator Name	Admin
Acquired	2020/3/8 15:18:14
Sample Type	0:Unknown
Level	0
Sample Name	1
Sample ID	1
ISTD Amount 1	1
ISTD Amount 2	1
ISTD Amount 3	1
ISTD Amount 4	1
ISTD Amount 5	1
ISTD Amount 6	1
ISTD Amount 7	1
ISTD Amount 8	1
ISTD Amount 9	1
ISTD Amount 10	1
ISTD Amount 11	1
ISTD Amount 12	1
ISTD Amount 13	1
ISTD Amount 14	1
ISTD Amount 15	1
ISTD Amount 16	1
ISTD Amount 17	1
ISTD Amount 18	1
ISTD Amount 19	1
ISTD Amount 20	1
ISTD Amount 21	1
ISTD Amount 22	1
ISTD Amount 23	1
ISTD Amount 24	1
ISTD Amount 25	1
ISTD Amount 26	1
ISTD Amount 27	1
ISTD Amount 28	1
ISTD Amount 29	1
ISTD Amount 30	1
ISTD Amount 31	1
ISTD Amount 32	1
Sample Amount	1
Dilution Factor	1
Vial#	3
Injection Volume	40

[Original Files]
Data File	D:\cz\DYL\20200308\NHE1-CHP1-SEC26.lcd
Method File	C:\Users\HPLC\Desktop\method file\method_Yan\TRP11.lcm
Batch File	D:\cz\Yan\0307nhechp1\20200307batch.lcb
Report Format File	d:\program\LC solution\LCsolution\System\Default.lcr
Tuning File	

[File Description]


[Configuration]
# of Detectors	1
Detector ID	Detector A
Detector Name	Detector A
# of Channels	1

[Peak Table(Detector A-Ch1)]
# of Peaks	329
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Conc. %	Norm Conc.
1	0.198	0.025	0.250	32175	4057	7.9310	0.0000	   			0.000	10	14780.738	0.000	0.000	0.000	0.0000	0.0000
2	0.279	0.250	0.325	23551	5621	4.1900	0.0000	 V 			0.408	12	12798.313	0.000	0.281	0.000	0.0000	0.0000
3	0.670	0.325	0.700	229380	14122	16.2420	0.0000	 V 			2.380	8	17740.080	0.000	0.627	5.831	0.0000	0.0000
4	0.724	0.700	0.775	62961	14289	4.4060	0.0000	 V 			2.649	3	57923.505	0.000	0.039	1.113	0.0000	0.0000
5	0.803	0.775	0.817	38168	15824	2.4120	0.0000	 V 			3.050	28	5269.060	0.000	0.066	1.151	0.0000	0.0000
6	0.937	0.817	0.983	173717	19914	8.7230	0.0000	 V 			3.726	15	9864.441	0.000	0.172	1.222	0.0000	0.0000
7	1.122	0.983	1.183	247774	22262	11.1300	0.0000	 V 			4.660	15	9894.086	0.000	0.175	1.251	0.0000	0.0000
8	1.322	1.183	1.358	246348	25011	9.8500	0.0000	 V 			5.668	34	4450.482	0.000	0.194	1.216	0.0000	0.0000
9	1.466	1.358	1.500	220118	27475	8.0120	0.0000	 V 			6.395	24	6138.121	0.000	0.137	1.128	0.0000	0.0000
10	1.616	1.500	1.683	314785	30525	10.3130	0.0000	 V 			7.150	19	8036.961	0.000	0.112	1.118	0.0000	0.0000
11	1.713	1.683	1.750	124346	32054	3.8790	0.0000	 V 			7.639	31	4846.427	0.000	0.071	1.068	0.0000	0.0000
12	1.788	1.750	1.825	145686	33174	4.3920	0.0000	 V 			8.017	0	384382.681	0.000	0.012	1.050	0.0000	0.0000
13	1.908	1.825	1.917	186276	35207	5.2910	0.0000	 V 			8.625	12	13042.545	0.000	0.018	1.076	0.0000	0.0000
14	2.005	1.917	2.042	266265	36524	7.2900	0.0000	 V 			9.112	16	9179.162	0.000	0.046	1.056	0.0000	0.0000
