[Header]
Application Name	LCsolution
Version	1.25
Data File Name	D:\cz\DYL\20200308\EMgrids.lcd
Output Date	2020/6/28
Output Time	16:20:39

[File Information]
Type	Data File
Generated	2020/3/8 16:54:47
Generated by	Admin
Modified	2020/3/8 17:43:20
Modified by	Admin

[Sample Information]
Operator Name	Admin
Acquired	2020/3/8 16:55:14
Sample Type	0:Unknown
Level	0
Sample Name	1
Sample ID	1
ISTD Amount 1	1
ISTD Amount 2	1
ISTD Amount 3	1
ISTD Amount 4	1
ISTD Amount 5	1
ISTD Amount 6	1
ISTD Amount 7	1
ISTD Amount 8	1
ISTD Amount 9	1
ISTD Amount 10	1
ISTD Amount 11	1
ISTD Amount 12	1
ISTD Amount 13	1
ISTD Amount 14	1
ISTD Amount 15	1
ISTD Amount 16	1
ISTD Amount 17	1
ISTD Amount 18	1
ISTD Amount 19	1
ISTD Amount 20	1
ISTD Amount 21	1
ISTD Amount 22	1
ISTD Amount 23	1
ISTD Amount 24	1
ISTD Amount 25	1
ISTD Amount 26	1
ISTD Amount 27	1
ISTD Amount 28	1
ISTD Amount 29	1
ISTD Amount 30	1
ISTD Amount 31	1
ISTD Amount 32	1
Sample Amount	1
Dilution Factor	1
Vial#	5
Injection Volume	40

[Original Files]
Data File	D:\cz\DYL\20200308\EMgrids.lcd
Method File	C:\Users\HPLC\Desktop\method file\method_Yan\TRP11.lcm
Batch File	D:\cz\Yan\0307nhechp1\20200307batch.lcb
Report Format File	d:\program\LC solution\LCsolution\System\Default.lcr
Tuning File	

[File Description]


[Configuration]
# of Detectors	1
Detector ID	Detector A
Detector Name	Detector A
# of Channels	1

[Peak Table(Detector A-Ch1)]
# of Peaks	362
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Conc. %	Norm Conc.
1	0.071	0.058	0.133	1852	718	2.5800	0.0000	   			0.000	0	0.000	0.000	0.000	0.000	0.0000	0.0000
2	0.151	0.133	0.200	4191	2161	1.9400	0.0000	 V 			1.145	94	1598.847	0.000	0.000	0.000	0.0000	0.0000
3	0.225	0.200	0.233	1295	930	1.3920	0.0000	   			2.188	4	37247.648	0.000	0.288	1.911	0.0000	0.0000
4	0.325	0.233	0.375	12865	2026	6.3500	0.0000	 V 			3.604	172	874.261	0.000	0.365	1.647	0.0000	0.0000
5	0.410	0.375	0.450	11334	2901	3.9070	0.0000	 V 			4.813	48	3120.090	0.000	0.508	1.335	0.0000	0.0000
6	0.478	0.450	0.525	11822	3182	3.7160	0.0000	 V 			5.777	108	1386.989	0.000	0.323	1.200	0.0000	0.0000
7	0.547	0.525	0.592	9598	2866	3.3480	0.0000	 V 			6.752	102	1463.434	0.000	0.344	1.169	0.0000	0.0000
8	0.643	0.592	0.717	14938	3020	4.9470	0.0000	 V 			8.114	164	913.545	0.000	0.461	1.202	0.0000	0.0000
9	0.764	0.717	0.817	11469	2251	5.0950	0.0000	 V 			9.828	42	3575.275	0.000	0.360	1.211	0.0000	0.0000
10	0.831	0.817	0.917	11644	2398	4.8550	0.0000	 V 			10.772	371	404.667	0.000	0.207	1.096	0.0000	0.0000
11	0.992	0.917	1.058	22057	3857	5.7180	0.0000	 V 			13.062	447	335.238	0.000	0.897	1.213	0.0000	0.0000
12	1.064	1.058	1.133	6873	1870	3.6760	0.0000	 V 			14.082	1190	126.038	0.000	0.463	1.078	0.0000	0.0000
13	1.218	1.133	1.292	18312	3470	5.2760	0.0000	   			16.255	862	174.033	0.000	1.060	1.154	0.0000	0.0000
14	1.380	1.292	1.417	12157	3121	3.8960	0.0000	 V 			18.558	3778	39.706	0.000	1.271	1.142	0.0000	0.0000
15	1.426	1.417	1.533	5579	1372	4.0660	0.0000	 V 			19.211	1887	79.473	0.000	0.417	1.035	0.0000	0.0000
16	1.607	1.533	1.617	3710	1048	3.5390	0.0000	   			21.775	500	299.898	0.000	0.864	1.133	0.0000	0.0000
17	1.683	1.617	1.725	9999	2483	4.0280	0.0000	 V 			22.851	2803	53.517	0.000	0.366	1.049	0.0000	0.0000
18	1.763	1.725	1.800	6360	2348	2.7090	0.0000	 V 			23.983	6050	24.795	0.000	0.733	1.050	0.0000	0.0000
19	1.880	1.800	1.917	5743	1644	3.4930	0.0000	 V 			25.637	15093	9.938	0.000	1.536	1.069	0.0000	0.0000
20	1.956	1.917	1.992	6091	2099	2.9010	0.0000	   			26.724	9537	15.729	0.000	1.085	1.042	0.0000	0.0000
21	2.036	1.992	2.158	9639	1891	5.0960	0.0000	 V 			27.855	2856	52.529	0.000	0.687	1.042	0.0000	0.0000
22	2.196	2.158	2.275	11531	2463	4.6820	0.0000	   			30.115	1565	95.864	0.000	0.852	1.081	0.0000	0.0000
23	2.313	2.275	2.458	16329	2196	7.4370	0.0000	 V 			31.774	1072	139.874	0.000	0.464	1.055	0.0000	0.0000
24	2.541	2.458	2.592	9691	2067	4.6890	0.0000	   			35.005	15892	9.438	0.797	1.256	1.102	0.0000	0.0000
25	2.658	2.592	2.675	7347	1956	3.7560	0.0000	   			36.671	4631	32.389	0.000	0.993	1.048	0.0000	0.0000
26	2.727	2.675	2.833	15766	2256	6.9890	0.0000	 V 			37.641	2546	58.911	0.000	0.367	1.026	0.0000	0.0000
27	2.919	2.833	2.975	16334	3025	5.4000	0.0000	 V 			40.367	2169	69.148	0.000	0.824	1.072	0.0000	0.0000
28	2.995	2.975	3.042	8921	2998	2.9760	0.0000	 V 			41.442	8412	17.831	0.000	0.398	1.027	0.0000	0.0000
29	3.071	3.042	3.117	5612	2247	2.4980	0.0000	 V 			42.521	18728	8.009	0.000	0.691	1.026	0.0000	0.0000
30	3.188	3.117	3.233	13958	3788	3.6850	0.0000	   			44.172	13870	10.815	0.000	1.177	1.039	0.0000	0.0000
31	3.295	3.233	3.333	9581	2520	3.8030	0.0000	 V 			45.699	10827	13.854	0.000	0.918	1.035	0.0000	0.0000
32	3.354	3.333	3.383	5054	2070	2.4410	0.0000	 V 			46.526	17062	8.791	0.000	0.508	1.018	0.0000	0.0000
33	3.430	3.383	3.483	10213	1903	5.3660	0.0000	 V 			47.605	7738	19.385	0.000	0.589	1.023	0.0000	0.0000
34	3.528	3.483	3.600	10956	3111	3.5220	0.0000	 V 			49.002	8432	17.789	0.000	0.637	1.029	0.0000	0.0000
35	3.624	3.600	3.650	5093	2356	2.1610	0.0000	   			50.360	43138	3.477	0.000	0.857	1.028	0.0000	0.0000
36	3.671	3.650	3.725	6845	1928	3.5510	0.0000	 V 			51.023	3275	45.797	0.000	0.287	1.013	0.0000	0.0000
