[Header]
Application Name	LCsolution
Version	1.25
Data File Name	D:\cz\DYL\20200308\NHE1-CHP1-cryoEM.lcd
Output Date	2020/6/28
Output Time	16:20:40

[File Information]
Type	Data File
Generated	2020/3/8 14:29:14
Generated by	Admin
Modified	2020/3/8 15:17:48
Modified by	Admin

[Sample Information]
Operator Name	Admin
Acquired	2020/3/8 14:29:40
Sample Type	0:Unknown
Level	0
Sample Name	1
Sample ID	1
ISTD Amount 1	1
ISTD Amount 2	1
ISTD Amount 3	1
ISTD Amount 4	1
ISTD Amount 5	1
ISTD Amount 6	1
ISTD Amount 7	1
ISTD Amount 8	1
ISTD Amount 9	1
ISTD Amount 10	1
ISTD Amount 11	1
ISTD Amount 12	1
ISTD Amount 13	1
ISTD Amount 14	1
ISTD Amount 15	1
ISTD Amount 16	1
ISTD Amount 17	1
ISTD Amount 18	1
ISTD Amount 19	1
ISTD Amount 20	1
ISTD Amount 21	1
ISTD Amount 22	1
ISTD Amount 23	1
ISTD Amount 24	1
ISTD Amount 25	1
ISTD Amount 26	1
ISTD Amount 27	1
ISTD Amount 28	1
ISTD Amount 29	1
ISTD Amount 30	1
ISTD Amount 31	1
ISTD Amount 32	1
Sample Amount	1
Dilution Factor	1
Vial#	2
Injection Volume	40

[Original Files]
Data File	D:\cz\DYL\20200308\NHE1-CHP1-cryoEM.lcd
Method File	C:\Users\HPLC\Desktop\method file\method_Yan\TRP11.lcm
Batch File	D:\cz\Yan\0307nhechp1\20200307batch.lcb
Report Format File	d:\program\LC solution\LCsolution\System\Default.lcr
Tuning File	

[File Description]


[Configuration]
# of Detectors	1
Detector ID	Detector A
Detector Name	Detector A
# of Channels	1

[Peak Table(Detector A-Ch1)]
# of Peaks	214
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Conc. %	Norm Conc.
1	11.336	11.308	11.425	8139	2888	2.8180	0.0000	   			0.000	391704	0.383	2.174	0.000	0.000	0.0000	0.0000
2	11.459	11.425	11.492	4808	2362	2.0350	0.0000	   			0.011	472206	0.318	0.881	1.763	0.000	0.0000	0.0000
3	11.538	11.492	11.675	15201	2374	6.4040	0.0000	   			0.018	80527	1.863	2.002	0.690	1.645	0.0000	0.0000
4	11.694	11.675	11.750	6596	1671	3.9470	0.0000	   			0.032	271812	0.552	0.000	1.235	1.772	0.0000	0.0000
5	11.827	11.750	11.883	14470	2870	5.0430	0.0000	 V 			0.043	66378	2.260	0.000	0.974	1.372	0.0000	0.0000
6	11.911	11.883	11.942	2496	1624	1.5370	0.0000	   			0.051	427337	0.351	1.051	0.659	1.172	0.0000	0.0000
7	11.968	11.950	12.000	1827	1056	1.7310	0.0000	   			0.056	757556	0.198	1.434	0.884	1.098	0.0000	0.0000
8	12.203	12.167	12.242	3365	2456	1.3700	0.0000	   			0.077	1153449	0.130	1.460	4.689	1.373	0.0000	0.0000
9	12.320	12.242	12.375	11689	2841	4.1140	0.0000	   			0.087	132231	1.134	0.896	1.287	1.134	0.0000	0.0000
10	12.392	12.375	12.450	2519	569	4.4310	0.0000	   			0.093	3376	44.432	2.494	0.146	1.073	0.0000	0.0000
11	12.567	12.450	12.650	37403	5114	7.3140	0.0000	   			0.109	33524	4.474	0.000	0.310	1.166	0.0000	0.0000
12	12.685	12.650	12.783	45378	6512	6.9680	0.0000	 V 			0.119	12370	12.126	0.000	0.324	1.096	0.0000	0.0000
13	12.862	12.783	12.925	75463	10157	7.4290	0.0000	 V 			0.135	23606	6.354	0.000	0.448	1.131	0.0000	0.0000
14	12.986	12.925	13.033	76692	13349	5.7450	0.0000	 V 			0.146	5893	25.454	0.000	0.246	1.082	0.0000	0.0000
15	13.047	13.033	13.092	44923	13679	3.2840	0.0000	 V 			0.151	18598	8.065	0.000	0.115	1.037	0.0000	0.0000
16	13.124	13.092	13.158	55968	14332	3.9050	0.0000	 V 			0.158	5699	26.323	0.000	0.142	1.045	0.0000	0.0000
17	13.198	13.158	13.233	70077	17205	4.0730	0.0000	 V 			0.164	20625	7.273	0.000	0.139	1.041	0.0000	0.0000
18	13.272	13.233	13.317	86640	18078	4.7930	0.0000	 V 			0.171	4670	32.119	0.000	0.130	1.040	0.0000	0.0000
19	13.483	13.317	13.550	293342	22630	12.9630	0.0000	 V 			0.189	2785	53.863	0.000	0.235	1.109	0.0000	0.0000
20	13.579	13.550	13.625	110397	25243	4.3730	0.0000	 V 			0.198	0	0.000	0.000	0.000	1.045	0.0000	0.0000
21	13.670	13.625	13.733	174497	27878	6.2590	0.0000	 V 			0.206	214	701.310	0.000	0.000	1.041	0.0000	0.0000
22	13.828	13.733	13.933	360559	31114	11.5880	0.0000	 V 			0.220	1292	116.136	0.000	0.060	1.067	0.0000	0.0000
23	14.040	13.933	14.108	362024	36064	10.0380	0.0000	 V 			0.239	2877	52.140	0.000	0.164	1.085	0.0000	0.0000
24	14.173	14.108	14.233	281516	39434	7.1390	0.0000	 V 			0.250	2101	71.385	0.000	0.117	1.049	0.0000	0.0000
25	14.272	14.233	14.308	177926	40466	4.3970	0.0000	 V 			0.259	2037	73.651	0.000	0.079	1.035	0.0000	0.0000
26	14.369	14.308	14.392	204266	42028	4.8600	0.0000	 V 			0.268	3135	47.844	0.000	0.085	1.033	0.0000	0.0000
27	14.451	14.392	14.508	295499	43214	6.8380	0.0000	 V 			0.275	636	235.988	0.000	0.049	1.027	0.0000	0.0000
28	14.652	14.508	14.708	545218	48121	11.3300	0.0000	 V 			0.293	1121	133.829	0.000	0.100	1.065	0.0000	0.0000
29	14.747	14.708	14.783	215992	48972	4.4100	0.0000	 V 			0.301	1090	137.653	0.000	0.054	1.029	0.0000	0.0000
30	14.801	14.783	14.867	242675	48431	5.0110	0.0000	 V 			0.306	0	0.000	0.000	0.000	1.016	0.0000	0.0000
31	14.896	14.867	14.975	328657	51751	6.3510	0.0000	 V 			0.314	1517	98.894	0.000	0.000	1.027	0.0000	0.0000
32	15.019	14.975	15.050	233811	53258	4.3900	0.0000	 V 			0.325	2511	59.732	0.000	0.090	1.035	0.0000	0.0000
33	15.091	15.050	15.142	298607	55373	5.3930	0.0000	 V 			0.331	2195	68.325	0.000	0.058	1.020	0.0000	0.0000
34	15.166	15.142	15.200	194105	56490	3.4360	0.0000	 V 			0.338	3203	46.834	0.000	0.063	1.020	0.0000	0.0000
35	15.264	15.200	15.308	359524	56533	6.3600	0.0000	 V 			0.347	140	1068.474	0.000	0.032	1.026	0.0000	0.0000
36	15.350	15.308	15.367	200513	58096	3.4510	0.0000	 V 			0.354	73	2049.134	0.000	0.014	1.022	0.0000	0.0000
37	15.381	15.367	15.425	204830	58645	3.4930	0.0000	 V 			0.357	187	803.396	0.000	0.005	1.008	0.0000	0.0000
38	15.498	15.425	15.542	421067	60697	6.9370	0.0000	 V 			0.367	59	2526.680	0.000	0.019	1.029	0.0000	0.0000
39	15.547	15.542	15.625	306537	61481	4.9860	0.0000	 V 			0.371	735	204.185	0.000	0.009	1.012	0.0000	0.0000
40	15.669	15.625	15.750	468523	63892	7.3330	0.0000	 V 			0.382	762	196.871	0.000	0.054	1.029	0.0000	0.0000
41	15.831	15.750	15.858	413599	65707	6.2950	0.0000	 V 			0.397	811	184.970	0.000	0.072	1.037	0.0000	0.0000
42	15.930	15.858	15.975	458421	66322	6.9120	0.0000	 V 			0.405	252	594.556	0.000	0.032	1.022	0.0000	0.0000
43	16.007	15.975	16.058	334390	67549	4.9500	0.0000	 V 			0.412	737	203.578	0.000	0.024	1.017	0.0000	0.0000
44	16.141	16.058	16.275	895644	70529	12.6990	0.0000	 V 			0.424	267	562.340	0.000	0.043	1.029	0.0000	0.0000
45	16.301	16.275	16.367	381286	71176	5.3570	0.0000	 V 			0.438	1155	129.899	0.000	0.054	1.033	0.0000	0.0000
46	16.410	16.367	16.533	700610	71478	9.8020	0.0000	 V 			0.448	1586	94.592	0.000	0.061	1.022	0.0000	0.0000
47	16.629	16.533	16.658	532379	72738	7.3190	0.0000	 V 			0.467	851	176.164	0.000	0.112	1.043	0.0000	0.0000
48	16.682	16.658	16.733	321079	72411	4.4340	0.0000	 V 			0.472	532	281.972	0.000	0.020	1.010	0.0000	0.0000
